"cell_id","sector_name","sector_letter","sector_number","grid.grid"
57,"Q28","Q","28",list(c(-27.0661204370217, -27.0545107001213, -27.0545107001213, -27.0661204370217, -27.0661204370217, 38.6494993297254, 38.6494993297254, 38.6585657421841, 38.6585657421841, 38.6494993297254))
58,"Q29","Q","29",list(c(-27.0545107001213, -27.0429009632209, -27.0429009632209, -27.0545107001213, -27.0545107001213, 38.6494993297254, 38.6494993297254, 38.6585657421841, 38.6585657421841, 38.6494993297254))
59,"P1","P","1",list(c(-27.3795833333334, -27.367973596433, -27.367973596433, -27.3795833333334, -27.3795833333334, 38.6585657421841, 38.6585657421841, 38.6676310071129, 38.6676310071129, 38.6585657421841))
60,"P2","P","2",list(c(-27.367973596433, -27.3563638595325, -27.3563638595325, -27.367973596433, -27.367973596433, 38.6585657421841, 38.6585657421841, 38.6676310071129, 38.6676310071129, 38.6585657421841))
61,"P3","P","3",list(c(-27.3563638595325, -27.3447541226321, -27.3447541226321, -27.3563638595325, -27.3563638595325, 38.6585657421841, 38.6585657421841, 38.6676310071129, 38.6676310071129, 38.6585657421841))
62,"P4","P","4",list(c(-27.3447541226321, -27.3331443857317, -27.3331443857317, -27.3447541226321, -27.3447541226321, 38.6585657421841, 38.6585657421841, 38.6676310071129, 38.6676310071129, 38.6585657421841))
63,"P5","P","5",list(c(-27.3331443857317, -27.3215346488312, -27.3215346488312, -27.3331443857317, -27.3331443857317, 38.6585657421841, 38.6585657421841, 38.6676310071129, 38.6676310071129, 38.6585657421841))
64,"P6","P","6",list(c(-27.3215346488312, -27.3099249119308, -27.3099249119308, -27.3215346488312, -27.3215346488312, 38.6585657421841, 38.6585657421841, 38.6676310071129, 38.6676310071129, 38.6585657421841))
65,"P7","P","7",list(c(-27.3099249119308, -27.2983151750304, -27.2983151750304, -27.3099249119308, -27.3099249119308, 38.6585657421841, 38.6585657421841, 38.6676310071129, 38.6676310071129, 38.6585657421841))
66,"P8","P","8",list(c(-27.2983151750304, -27.2867054381299, -27.2867054381299, -27.2983151750304, -27.2983151750304, 38.6585657421841, 38.6585657421841, 38.6676310071129, 38.6676310071129, 38.6585657421841))
67,"P9","P","9",list(c(-27.2867054381299, -27.2750957012295, -27.2750957012295, -27.2867054381299, -27.2867054381299, 38.6585657421841, 38.6585657421841, 38.6676310071129, 38.6676310071129, 38.6585657421841))
68,"P10","P","10",list(c(-27.2750957012295, -27.2634859643291, -27.2634859643291, -27.2750957012295, -27.2750957012295, 38.6585657421841, 38.6585657421841, 38.6676310071129, 38.6676310071129, 38.6585657421841))
69,"P11","P","11",list(c(-27.2634859643291, -27.2518762274286, -27.2518762274286, -27.2634859643291, -27.2634859643291, 38.6585657421841, 38.6585657421841, 38.6676310071129, 38.6676310071129, 38.6585657421841))
70,"P12","P","12",list(c(-27.2518762274286, -27.2402664905282, -27.2402664905282, -27.2518762274286, -27.2518762274286, 38.6585657421841, 38.6585657421841, 38.6676310071129, 38.6676310071129, 38.6585657421841))
71,"P13","P","13",list(c(-27.2402664905282, -27.2286567536278, -27.2286567536278, -27.2402664905282, -27.2402664905282, 38.6585657421841, 38.6585657421841, 38.6676310071129, 38.6676310071129, 38.6585657421841))
72,"P14","P","14",list(c(-27.2286567536278, -27.2170470167273, -27.2170470167273, -27.2286567536278, -27.2286567536278, 38.6585657421841, 38.6585657421841, 38.6676310071129, 38.6676310071129, 38.6585657421841))
73,"P15","P","15",list(c(-27.2170470167273, -27.2054372798269, -27.2054372798269, -27.2170470167273, -27.2170470167273, 38.6585657421841, 38.6585657421841, 38.6676310071129, 38.6676310071129, 38.6585657421841))
74,"P16","P","16",list(c(-27.2054372798269, -27.1938275429265, -27.1938275429265, -27.2054372798269, -27.2054372798269, 38.6585657421841, 38.6585657421841, 38.6676310071129, 38.6676310071129, 38.6585657421841))
75,"P17","P","17",list(c(-27.1938275429265, -27.1822178060261, -27.1822178060261, -27.1938275429265, -27.1938275429265, 38.6585657421841, 38.6585657421841, 38.6676310071129, 38.6676310071129, 38.6585657421841))
76,"P18","P","18",list(c(-27.1822178060261, -27.1706080691256, -27.1706080691256, -27.1822178060261, -27.1822178060261, 38.6585657421841, 38.6585657421841, 38.6676310071129, 38.6676310071129, 38.6585657421841))
77,"P19","P","19",list(c(-27.1706080691256, -27.1589983322252, -27.1589983322252, -27.1706080691256, -27.1706080691256, 38.6585657421841, 38.6585657421841, 38.6676310071129, 38.6676310071129, 38.6585657421841))
78,"P20","P","20",list(c(-27.1589983322252, -27.1473885953248, -27.1473885953248, -27.1589983322252, -27.1589983322252, 38.6585657421841, 38.6585657421841, 38.6676310071129, 38.6676310071129, 38.6585657421841))
79,"P21","P","21",list(c(-27.1473885953248, -27.1357788584243, -27.1357788584243, -27.1473885953248, -27.1473885953248, 38.6585657421841, 38.6585657421841, 38.6676310071129, 38.6676310071129, 38.6585657421841))
80,"P22","P","22",list(c(-27.1357788584243, -27.1241691215239, -27.1241691215239, -27.1357788584243, -27.1357788584243, 38.6585657421841, 38.6585657421841, 38.6676310071129, 38.6676310071129, 38.6585657421841))
